p,gmn
0.1,-7.27185e-09
0.1,-6.57736e-09
0.1,-2.09417e-11
0.1,-1.60746e-10
0.1,-2.89073e-09
0.1,-1.26283e-08
0.1,-4.49324e-11
0.1,-2.89954e-10
0.1,-1.231e-12
0.1,-1.13553e-10
0.1,-2.52255e-08
0.1,-4.49323e-11
0.1,-6.37989e-15
0.1,-4.74087e-08
0.1,-2.65834e-12
0.1,-4.49324e-11
0.1,-1.04191e-11
0.1,-4.49324e-11
0.1,-4.49324e-11
0.1,-4.81115e-11
0.1,-3.10169e-15
0.1,0.117511
0.1,-4.49323e-11
0.1,-9.24184e-11
0.1,-4.49324e-11
0.1,-6.15506e-11
0.1,-2.96288e-08
0.1,-1.03814e-11
0.1,-7.12536e-14
0.1,-3.17284e-08
0.1,-1.41458e-09
0.1,-4.49324e-11
0.1,-4.87601e-10
0.1,-4.19299e-12
0.1,-6.14937e-14
0.1,-4.49324e-11
0.1,-2.92014e-08
0.1,0.0493397
0.1,-9.89182e-09
0.1,-8.27581e-10
0.1,-9.38163e-12
0.1,0.000555856
0.1,-4.49324e-11
0.1,0.116147
0.1,-2.38518e-08
0.1,-4.38508e-08
0.1,-3.62595e-11
0.1,-4.49326e-11
0.1,-1.5016e-14
0.1,-5.53156e-13
0.1,-8.40416e-09
0.1,-1.80741e-11
0.1,-2.39371e-14
0.1,-4.68618e-10
0.1,-1.89761e-09
0.1,-4.7785e-09
0.1,-4.49323e-11
0.1,-4.49348e-11
0.1,-3.01436e-11
0.1,-4.49327e-11
0.1,-2.64223e-09
0.1,-1.32429e-14
0.1,-2.20834e-09
0.1,-1.39334e-09
0.1,-1.86927e-09
0.1,-1.89582e-13
0.1,-4.49324e-11
0.1,-4.49325e-11
0.1,-3.18985e-10
0.1,-7.29307e-12
0.1,-3.54357e-10
0.1,-2.27129e-08
0.1,-3.56779e-15
0.1,-6.2404e-09
0.1,-1.49022e-10
0.1,-4.49324e-11
0.1,-5.47189e-14
0.1,-4.49324e-11
0.1,-2.80053e-13
0.1,-4.49323e-11
0.1,0.158498
0.1,-4.49411e-11
0.1,0.111635
0.1,-1.05739e-08
0.1,-1.04715e-10
0.1,-3.28513e-13
0.1,-2.3259e-13
0.1,-4.49402e-11
0.1,-2.70961e-12
0.1,-1.32934e-12
0.1,-7.97158e-14
0.1,-1.87682e-09
0.1,-1.69907e-09
0.1,-4.43904e-16
0.1,-4.49324e-11
0.1,-2.36489e-09
0.1,-1.80165e-11
0.1,-1.97895e-10
0.1,-3.91239e-10
0.1,-4.49324e-11
0.1,-6.78741e-10
0.1,-3.2882e-10
0.1,-2.29748e-09
0.1,-4.49326e-11
0.1,-2.23525e-08
0.1,-1.6844e-08
0.1,-4.49324e-11
0.1,-5.3993e-13
0.1,-1.48232e-09
0.1,-2.98416e-08
0.1,-2.79536e-08
0.1,-2.4792e-13
0.1,-2.86445e-11
0.1,-2.27021e-09
0.1,-9.33473e-09
0.1,-4.49324e-11
0.1,-6.85427e-10
0.1,-6.20069e-09
0.1,-2.02514e-08
0.1,-1.24514e-08
0.1,-1.70013e-10
0.1,-4.49323e-11
0.1,-3.54671e-14
0.1,-4.49324e-11
0.1,0.0958168
0.1,-2.40603e-09
0.1,-4.49324e-11
0.1,-5.04336e-16
0.1,-9.50632e-09
0.1,-1.65746e-10
0.1,0.020555
0.1,-1.98225e-13
0.1,-2.19329e-13
0.1,-1.36392e-08
0.1,-3.02419e-09
0.1,-6.0011e-11
0.1,-1.27629e-12
0.1,-4.08691e-09
0.1,-5.47841e-11
0.1,0.084193
0.1,-3.57364e-13
0.1,0.0478008
0.1,-3.18052e-13
0.1,-1.05673e-09
0.1,-2.27287e-13
0.1,-9.56706e-09
0.1,-6.57667e-09
0.1,-4.49324e-11
0.1,-1.32914e-08
0.1,-5.50596e-08
0.1,-4.129e-11
0.1,-7.45045e-08
0.1,-2.27551e-15
0.1,-2.91049e-08
0.1,-1.50665e-14
0.1,-3.05481e-13
0.1,-2.63102e-10
0.1,-2.37946e-08
0.1,-2.22073e-08
0.1,-5.33553e-12
0.1,-1.56449e-09
0.1,-9.54177e-11
0.1,-6.5994e-15
0.1,-1.20974e-09
0.1,-4.49324e-11
0.1,-7.11114e-10
0.1,-4.79512e-11
0.1,-4.49324e-11
